Megophrys_platyparietus
Megophrys_major
Megophrys_periosa
Megophrys_gerti
Leptobrachella_arayai
Leptobrachella_ardens
Leptobrachella_aspera
Leptobrachella_baluensis
Leptobrachella_bashaensis
Leptobrachella_bijie
Leptobrachella_brevicrus
Leptobrachella_damingshanensis
Leptobrachella_dong
Leptobrachella_dringi
Leptobrachella_fuliginosus
Leptobrachella_graminicola
Leptobrachella_hamidi
Leptobrachella_heteropus
Leptobrachella_itiokai
Leptobrachella_jinshaensis
Leptobrachella_kajangensis
Leptobrachella_kecil
Leptobrachella_khasiorum
Leptobrachella_korifi
Leptobrachella_maculosus
Leptobrachella_marmoratus
Leptobrachella_maurus
Leptobrachella_melicus
Leptobrachella_mjobergi
Leptobrachella_murphyi
Leptobrachella_neangi
Leptobrachella_parva
Leptobrachella_pictus
Leptobrachella_purpuraventra
Leptobrachella_purpurus
Leptobrachella_sabahmontanus
Leptobrachella_shangsiensis
Leptobrachella_sinorensis
Leptobrachella_sp_11_JMC_2018
Leptobrachella_sp_12_JMC_2018
Leptobrachella_sp_13_JMC_2018
Leptobrachella_sp_15_JMC_2018
Leptobrachella_sp_4_JMC_2018
Leptobrachella_sp_8_JMC_2018
Leptobrachella_sp_PYU_DTD490
Leptobrachella_sp_USNM_572048
Leptobrachella_sp_WC_2021
Leptobrachella_suiyangensis
Leptobrachella_tadungensis
Leptobrachella_verrucosa
Leptobrachium_abbotti
Leptobrachium_buchardi
Leptobrachium_guangxiense
Leptobrachium_gunungense
Leptobrachium_ingeri
Leptobrachium_kanowitense
Leptobrachium_kantonishikawai
Leptobrachium_leishanense
Leptobrachium_leucops
Leptobrachium_lunatum
Leptobrachium_montanum
Leptobrachium_mouhoti
Leptobrachium_nigrops
Leptobrachium_rakhinensis
Leptobrachium_sylheticum
Leptobrachium_tagbanorum
Leptobrachium_tenasserimense
Leptobrachium_tengchongense
Leptobrachium_waysepuntiense
Leptobrachium_xanthops
Megophrys_acehensis
Megophrys_acuta
Megophrys_ancrae
Megophrys_anlongensis
Megophrys_awuh
Megophrys_baishanzuensis
Megophrys_baluensis
Megophrys_baolongensis
Megophrys_binlingensis
Megophrys_boettgeri
Megophrys_caobangensis
Megophrys_chuannanensis
Megophrys_congjiangensis
Megophrys_daiyunensis
Megophrys_daoji
Megophrys_dringi
Megophrys_dzukou
Megophrys_fanjingmontis
Megophrys_fansipanensis
Megophrys_feii
Megophrys_fengshunensis
Megophrys_flavipunctata
Megophrys_frigida
Megophrys_himalayana
Megophrys_hungtai
Megophrys_insularis
Megophrys_intermedia
Megophrys_jiangi
Megophrys_kalimantanensis
Megophrys_kobayashii
Megophrys_kuatunensis
Megophrys_lancangica
Megophrys_lancip
Megophrys_lekaguli
Megophrys_liboensis
Megophrys_lishuiensis
Megophrys_megacephala
Megophrys_minor
Megophrys_mirabilis
Megophrys_monticola
Megophrys_mufumontana
Megophrys_nankiangensis
Megophrys_nanlingensis
Megophrys_nasutus
Megophrys_numhbumaeng
Megophrys_obesa
Megophrys_ombrophila
Megophrys_oreocrypta
Megophrys_orientalis
Megophrys_oropedion
Megophrys_parallela
Megophrys_poilani
Megophrys_puningensis
Megophrys_qianbeiensis
Megophrys_qiannanensis
Megophrys_robusta
Megophrys_sangzhiensis
Megophrys_sanmingensis
Megophrys_selatanensis
Megophrys_serchhipii
Megophrys_shimentaina
Megophrys_shunhuangensis
Megophrys_sp_Jingdong_County_Yunnan
Megophrys_sp_1_JMC_2016
Megophrys_sp_13_JMC_2016
Megophrys_sp_15_JMC_2016
Megophrys_sp_17_JMC_2016
Megophrys_sp_18_JMC_2016
Megophrys_sp_19_JMC_2016
Megophrys_sp_20_JMC_2016
Megophrys_sp_3
Megophrys_sp_AMNH_163844
Megophrys_sp_ENS_15063
Megophrys_sp_ENS_16619
Megophrys_sp_ENS_7577
Megophrys_sp_27ZL_2018
Megophrys_sp_dSL_2021
Megophrys_stejnegeri
Megophrys_synoria
Megophrys_takensis
Megophrys_tongboensis
Megophrys_tuberogranulata
Megophrys_vegrandis
Megophrys_wugongensis
Megophrys_xiangnanensis
Megophrys_xianjuensis
Megophrys_xuefengmontis
Megophrys_yangmingensis
Megophrys_yingdeensis
Megophrys_zhoui
Megophrys_zunhebotoensis
Oreolalax_chuanbeiensis
Oreolalax_jingdongensis
Oreolalax_liangbeiensis
Oreolalax_lichuanensis
Oreolalax_longmenmontis
Oreolalax_major
Oreolalax_multipunctatus
Oreolalax_pingii
Oreolalax_rugosus
Oreolalax_sp_CIB_XM092
Oreolalax_sterlingae
Oreolalax_xiangchengensis
Pelobates_balcanicus
Pelobates_varaldii
Pelobates_vespertinus
Pelodytes_atlanticus
Pelodytes_punctatus
Scaphiopus_hurterii
Scutiger_ghunsa
Scutiger_nepalensis
Scutiger_occidentalis
Scutiger_tengchongensis
Scutiger_wanglangensis
Spea_bombifrons
Spea_intermontana
Spea_multiplicata
